scenario,config,seed,wall_time_s,n_steps,evacuation_time,mean_speed,max_density,collision_count,flow_rate,agents_exited,mean_risk,max_risk,time_above_critical
BidirectionalScenario,C4,42,306.96985558301094,3000,30.00000000000189,0.6966692050632043,1.4147106052612919,100,0.0,0,0.0,0.0,0
BidirectionalScenario,C4,43,230.0922404580051,3000,30.00000000000189,0.704864475239935,1.3793428401297596,105,0.06666666666666246,2,0.0,0.0,0
BidirectionalScenario,C4,44,202.45957754200208,3000,30.00000000000189,0.6958572902720804,1.4147106052612919,94,0.06666666666666246,2,0.0,0.0,0
