config,injection_rate,rep,density,speed
C2,1,0,0.2043518518518518,1.3678417690175648
C2,1,1,0.22009259259259253,1.359401318628122
C2,1,2,0.19956790123456786,1.4020983357240706
C2,1,3,0.21561728395061724,1.315810996064761
C2,1,4,0.21484567901234566,1.2246483106752457
C2,2,0,0.41848765432098756,1.3105873243191102
C2,2,1,0.4395061728395061,1.2963750144095854
C2,2,2,0.40932098765432096,1.3849612652305308
C2,2,3,0.42293209876543203,1.3086354367246797
C2,2,4,0.42858024691358015,1.2732122811375917
C2,3,0,0.6014506172839506,1.3439228702682655
C2,3,1,0.6187345679012346,1.3904081322903838
C2,3,2,0.603858024691358,1.3840018563289769
C2,3,3,0.6237962962962963,1.3598730755983996
C2,3,4,0.6116358024691358,1.331023655017153
C2,5,0,1.0096296296296297,1.3604016176633904
C2,5,1,1.0229012345679012,1.3603831144858596
C2,5,2,0.9809259259259258,1.3833287064483917
C2,5,3,1.036111111111111,1.3380770239305302
C2,5,4,1.0103086419753085,1.3393596158125953
C2,7,0,1.3528086419753087,1.4180224824356353
C2,7,1,1.3573456790123457,1.4160669946189264
C2,7,2,1.287098765432099,1.4494068250412766
C2,7,3,1.3570987654320987,1.4014206635345279
C2,7,4,1.3635185185185184,1.3980535615638952
C2,10,0,1.918333333333333,1.4086937749194162
C2,10,1,1.8725925925925924,1.4389311759442311
C2,10,2,1.8758333333333332,1.4207687507282931
C2,10,3,1.9176851851851853,1.413733955477341
C2,10,4,1.9254320987654319,1.3822333717029476
C2,13,0,2.362716049382716,1.4642123037743546
C2,13,1,2.4342283950617283,1.432255602217899
C2,13,2,2.4457716049382716,1.4365799933965184
C2,13,3,2.4663888888888885,1.4006749450793634
C2,13,4,2.413981481481481,1.4452134358348163
C2,16,0,2.867561728395062,1.4687632944419453
C2,16,1,2.9191049382716048,1.4537333563962942
C2,16,2,2.879969135802469,1.469594320936972
C2,16,3,2.773487654320988,1.4791842292174207
C2,16,4,2.8891666666666667,1.4799821636263906
C2,20,0,3.6228703703703697,1.4318540566428528
C2,20,1,3.676944444444444,1.432861997416138
C2,20,2,3.5378086419753085,1.462636003000431
C2,20,3,3.5399691358024685,1.474955683800675
C2,20,4,3.6709876543209874,1.432928948692991
