scenario,config,seed,wall_time_s,n_steps,evacuation_time,mean_speed,max_density,collision_count,flow_rate,agents_exited,mean_risk,max_risk,time_above_critical
CorridorScenario,C4,42,175.35928875001264,3000,30.00000000000189,0.3140485813418168,1.4147106052612919,480,0.26666666666664984,8,0.0,0.0,0
CorridorScenario,C4,43,132.23932354099816,3000,30.00000000000189,0.3216443080378501,1.4147106052612919,412,0.26666666666664984,8,0.0,0.0,0
CorridorScenario,C4,44,131.89548883400857,3000,30.00000000000189,0.3218833535482514,1.4147106052612919,489,0.26666666666664984,8,0.0,0.0,0
