scenario,config,seed,wall_time_s,n_steps,evacuation_time,mean_speed,max_density,collision_count,flow_rate,agents_exited,mean_risk,max_risk,time_above_critical
FunnelScenario,D3,42,33.35256341600325,3000,30.00000000000189,0.7159586042258161,16.127700899978727,7278,5.66666666666631,170,0.0,0.0,22.68
FunnelScenario,D3,43,33.487665834021755,3000,30.00000000000189,0.6937241866230541,15.278874536821952,7127,5.6333333333329785,169,0.0,0.0,22.43
FunnelScenario,D3,44,32.46824258400011,3000,30.00000000000189,0.6731830659678931,15.420345597348081,6493,5.599999999999647,168,0.0,0.0,22.82
