frame_id,mean_density,mean_speed
32,0.18518518518518517,2.2814948460939966
33,0.18518518518518517,2.995305237790343
34,0.18518518518518517,2.0873920103664054
35,0.18518518518518517,2.1255393586788243
36,0.18518518518518517,1.9499890811971476
37,0.27777777777777773,3.2669663214155134
38,0.27777777777777773,1.761952983439401
39,0.4629629629629629,2.16058129480336
40,0.4629629629629629,2.1926785303046836
41,0.37037037037037035,2.2834341823700823
42,0.37037037037037035,2.407530738436369
43,0.37037037037037035,2.434997774804489
44,0.37037037037037035,2.3786274269656853
45,0.4629629629629629,2.5615211918926746
46,0.4629629629629629,2.092389988564228
47,0.5555555555555555,2.5184094396185333
48,0.4629629629629629,1.8818059846524755
49,0.4629629629629629,2.292170681617466
50,0.6481481481481481,2.3681683338520307
51,0.6481481481481481,2.4260581525122005
52,0.6481481481481481,1.8324217765301907
53,0.7407407407407407,2.546914949165739
54,1.0185185185185184,2.4863150512041514
55,1.0185185185185184,1.9858650960442086
56,1.0185185185185184,1.802441196590943
57,1.111111111111111,2.7540023550106096
58,1.2037037037037037,2.703084472467666
59,1.2962962962962963,1.9292759289952894
60,1.2962962962962963,1.9455414745147661
61,1.3888888888888888,2.6877250315311665
62,1.3888888888888888,2.335958213341739
63,1.3888888888888888,2.130066908441933
64,1.3888888888888888,1.9861919451515917
65,1.3888888888888888,2.53905356361545
66,1.4814814814814814,2.3575506513051017
67,1.6666666666666665,2.267759268159632
68,1.574074074074074,2.2403981146319394
69,1.574074074074074,2.4447340381463043
70,1.574074074074074,2.282916795033781
71,1.4814814814814814,2.1433683651734383
72,1.574074074074074,2.2539793372885804
73,1.759259259259259,2.4869790857828376
74,1.6666666666666665,2.000717697511265
75,1.6666666666666665,1.9887860806009283
76,1.8518518518518516,2.1857132960854275
77,1.9444444444444444,2.492949020553065
78,1.9444444444444444,2.2569436776747627
79,1.9444444444444444,1.8798337708248734
80,1.9444444444444444,2.316107187798845
81,1.8518518518518516,2.278338245136286
82,2.0370370370370368,2.198477534818942
83,2.0370370370370368,2.041444156374618
84,2.222222222222222,2.2491164462441944
85,2.314814814814815,2.234538083855967
86,2.685185185185185,2.293428472263074
87,2.685185185185185,2.0626003573559912
88,2.5925925925925926,1.97222761184972
89,2.5925925925925926,2.1944815316157653
90,2.5,2.0412109970073353
91,2.5925925925925926,2.021193730241778
92,2.7777777777777777,1.9824647947938387
93,2.685185185185185,2.2784915663934227
94,2.685185185185185,2.278714442911356
95,2.5925925925925926,2.1999753485734126
96,2.5925925925925926,1.9843166112145276
97,2.685185185185185,2.11030113553208
98,2.685185185185185,2.2541550708617626
99,2.5925925925925926,2.0953359859449106
100,2.5925925925925926,1.8837175937563213
101,2.4074074074074074,2.0915731223884153
102,2.5,2.176801062070277
103,2.314814814814815,2.117972813565234
104,2.4074074074074074,1.8480430583311898
105,2.5,2.1014374711841888
106,2.5,2.240010805307204
107,2.5,1.8337496954189547
108,2.5,1.7465270766794783
109,2.5,2.0398358690929803
110,2.685185185185185,2.4830757139072537
111,2.5925925925925926,2.0152841812622
112,2.685185185185185,1.8027873938748393
113,2.685185185185185,1.9600094995937527
114,2.8703703703703702,2.3859828876668683
115,2.685185185185185,1.9638832326829319
116,2.685185185185185,1.940123958684395
117,2.7777777777777777,1.9660380768317307
118,2.8703703703703702,2.3318222075339823
119,2.7777777777777777,1.8743594130672372
120,2.962962962962963,1.9212749392083328
121,2.962962962962963,1.9899043763153808
122,2.962962962962963,2.2426875773670645
123,2.962962962962963,1.921860153462171
124,3.0555555555555554,1.952000514696101
125,3.2407407407407405,2.1174192139141
126,3.0555555555555554,2.039463311221369
127,3.148148148148148,1.9191251499076625
128,3.148148148148148,1.9687965031095436
129,3.4259259259259256,2.0688019431728013
130,3.518518518518518,2.12085507596137
131,3.518518518518518,1.9039164155484432
132,3.4259259259259256,1.8733735239425977
133,3.4259259259259256,2.147040976319107
134,3.333333333333333,1.997410048495674
135,3.2407407407407405,1.7493933225883842
136,3.2407407407407405,2.0801721800068473
137,3.518518518518518,2.142760955470251
138,3.4259259259259256,1.9453807685719446
139,3.6111111111111107,1.7939831777021003
140,3.7037037037037033,2.0488862939810133
141,3.796296296296296,2.1857821603898326
142,4.0740740740740735,1.9616016865904535
143,4.166666666666666,1.8420970935270695
144,4.259259259259259,2.1639521453540267
145,4.259259259259259,2.1267192944956776
