scenario,config,seed,wall_time_s,n_steps,evacuation_time,mean_speed,max_density,collision_count,flow_rate,agents_exited,mean_risk,max_risk,time_above_critical
CorridorScenario,C1,42,78.05084641699796,3000,30.00000000000189,0.2792907332122626,1.4147106052612919,665,0.13333333333332492,4,0.0,0.0,0
CorridorScenario,C1,43,83.36721533400123,3000,30.00000000000189,0.2745839457018299,1.4147106052612919,589,0.13333333333332492,4,0.0,0.0,0
CorridorScenario,C1,44,97.55083566601388,3000,30.00000000000189,0.2898744745964953,1.4147106052612919,643,0.16666666666665617,5,0.0,0.0,0
