config,n_agents,seed,ms_per_step
C1,50,42,2.095
C1,50,43,2.076
C1,50,44,1.935
C1,100,42,6.797
C1,100,43,6.347
C1,100,44,7.324
C1,200,42,34.553
C1,200,43,48.48
C1,200,44,40.6
C1,500,42,176.872
C1,500,43,172.63
C1,500,44,186.318
C1,1000,42,712.96
C1,1000,43,760.076
C1,1000,44,759.909
