config,width,seed,zone,collision_count
C4,0.8,55,upstream,167
C4,0.8,55,throat,0
C4,0.8,55,downstream,0
C4,0.8,56,upstream,228
C4,0.8,56,throat,1
C4,0.8,56,downstream,0
C4,0.8,57,upstream,258
C4,0.8,57,throat,0
C4,0.8,57,downstream,0
C4,0.8,58,upstream,251
C4,0.8,58,throat,3
C4,0.8,58,downstream,0
C4,0.8,59,upstream,145
C4,0.8,59,throat,1
C4,0.8,59,downstream,0
C4,0.8,60,upstream,157
C4,0.8,60,throat,0
C4,0.8,60,downstream,0
C4,0.8,61,upstream,223
C4,0.8,61,throat,0
C4,0.8,61,downstream,0
C4,0.8,62,upstream,274
C4,0.8,62,throat,0
C4,0.8,62,downstream,0
C4,0.8,63,upstream,183
C4,0.8,63,throat,0
C4,0.8,63,downstream,0
C4,0.8,64,upstream,362
C4,0.8,64,throat,0
C4,0.8,64,downstream,0
C4,0.8,65,upstream,148
C4,0.8,65,throat,0
C4,0.8,65,downstream,0
C4,0.8,66,upstream,218
C4,0.8,66,throat,0
C4,0.8,66,downstream,0
C4,1.0,42,upstream,33
C4,1.0,42,throat,0
C4,1.0,42,downstream,0
C4,1.0,43,upstream,29
C4,1.0,43,throat,0
C4,1.0,43,downstream,0
C4,1.0,44,upstream,25
C4,1.0,44,throat,0
C4,1.0,44,downstream,0
C4,1.0,45,upstream,21
C4,1.0,45,throat,0
C4,1.0,45,downstream,0
C4,1.0,46,upstream,36
C4,1.0,46,throat,0
C4,1.0,46,downstream,0
C4,1.0,47,upstream,28
C4,1.0,47,throat,0
C4,1.0,47,downstream,0
C4,1.0,48,upstream,6
C4,1.0,48,throat,0
C4,1.0,48,downstream,0
C4,1.0,49,upstream,21
C4,1.0,49,throat,0
C4,1.0,49,downstream,0
C4,1.0,50,upstream,9
C4,1.0,50,throat,0
C4,1.0,50,downstream,0
C4,1.0,51,upstream,13
C4,1.0,51,throat,2
C4,1.0,51,downstream,0
C4,1.0,52,upstream,47
C4,1.0,52,throat,0
C4,1.0,52,downstream,0
C4,1.0,53,upstream,13
C4,1.0,53,throat,0
C4,1.0,53,downstream,0
C4,1.0,54,upstream,34
C4,1.0,54,throat,0
C4,1.0,54,downstream,0
C4,1.0,55,upstream,25
C4,1.0,55,throat,0
C4,1.0,55,downstream,0
C4,1.0,56,upstream,38
C4,1.0,56,throat,0
C4,1.0,56,downstream,0
C4,1.0,57,upstream,26
C4,1.0,57,throat,0
C4,1.0,57,downstream,0
C4,1.0,58,upstream,29
C4,1.0,58,throat,0
C4,1.0,58,downstream,0
C4,1.0,59,upstream,55
C4,1.0,59,throat,0
C4,1.0,59,downstream,0
C4,1.0,60,upstream,38
C4,1.0,60,throat,0
C4,1.0,60,downstream,0
C4,1.0,61,upstream,32
C4,1.0,61,throat,0
C4,1.0,61,downstream,0
C4,1.0,62,upstream,49
C4,1.0,62,throat,0
C4,1.0,62,downstream,0
C4,1.0,63,upstream,28
C4,1.0,63,throat,0
C4,1.0,63,downstream,0
C4,1.0,64,upstream,40
C4,1.0,64,throat,0
C4,1.0,64,downstream,0
C4,1.0,65,upstream,38
C4,1.0,65,throat,0
C4,1.0,65,downstream,0
C4,1.0,66,upstream,19
C4,1.0,66,throat,0
C4,1.0,66,downstream,0
