scenario,config,seed,wall_time_s,n_steps,evacuation_time,mean_speed,max_density,collision_count,flow_rate,agents_exited,mean_risk,max_risk,time_above_critical
FunnelScenario,D4,42,272.5323552500049,3000,30.00000000000189,0.698769306331626,3.5014087480216975,755,3.299999999999792,99,0.0,0.0,0
FunnelScenario,D4,43,216.0707859999966,2086,20.86000000000046,1.0155043233417136,3.53677651315323,576,4.793863854266433,100,0.0,0.0,0
FunnelScenario,D4,44,194.74890683300328,3000,30.00000000000189,0.6402929775359626,3.4660409828901653,611,3.266666666666461,98,0.0,0.0,0
