scenario,config,seed,wall_time_s,n_steps,evacuation_time,mean_speed,max_density,collision_count,flow_rate,agents_exited,mean_risk,max_risk,time_above_critical
BidirectionalScenario,C4,42,25.310199100000318,3000,inf,0.7189143872564162,0.6719875374991137,15,0.03333333333333123,1,0.0,0.0,0
BidirectionalScenario,C4,43,22.200276299990946,3000,inf,0.6832375457848309,0.6012520072360491,6,0.0,0,0.0,0.0,0
