config,injection_rate,rep,density,speed
C3,1,0,0.20422839506172838,1.3676422984530991
C3,1,1,0.22049382716049376,1.3637777050874011
C3,1,2,0.1949074074074074,1.4216713422462564
C3,2,0,0.42530864197530854,1.2843194581302184
C3,2,1,0.44027777777777777,1.2951309395538282
C3,2,2,0.40682098765432095,1.3755840102729602
C3,3,0,0.6220679012345678,1.3172959275044587
C3,3,1,0.6311728395061729,1.365429098197704
C3,3,2,0.6124691358024691,1.3478020693541521
C3,5,0,1.0319444444444443,1.3085325353019122
C3,5,1,1.0683333333333334,1.3181886004412742
C3,5,2,1.0057716049382714,1.337660293366521
C3,7,0,1.4069753086419754,1.3618380853405625
C3,7,1,1.4075925925925925,1.3634328888580918
C3,7,2,1.37679012345679,1.390320951477367
