scenario,config,seed,wall_time_s,n_steps,evacuation_time,mean_speed,max_density,collision_count,flow_rate,agents_exited,mean_risk,max_risk,time_above_critical
CorridorScenario,C1,42,96.7513308749767,3000,30.00000000000189,0.29465906888786225,2.1220659078919377,1211,0.5333333333332997,16,0.0,0.0,0
CorridorScenario,C1,43,94.97537470899988,3000,30.00000000000189,0.3087843447235902,2.1220659078919377,1190,0.566666666666631,17,0.0,0.0,0
CorridorScenario,C1,44,89.3337137500057,3000,30.00000000000189,0.3110603775295853,2.1220659078919377,962,0.6333333333332934,19,0.0,0.0,0
