scenario,config,seed,wall_time_s,n_steps,evacuation_time,mean_speed,max_density,collision_count,flow_rate,agents_exited,mean_risk,max_risk,time_above_critical
BottleneckScenario,C4,42,76.8706177919812,1511,15.109999999999722,0.7992597401439793,1.768388256576615,33,3.3090668431502923,50,0.0,0.0,0
BottleneckScenario,C4,43,79.02329520799685,1554,15.539999999999713,0.8261146798851416,1.768388256576615,29,3.217503217503277,50,0.0,0.0,0
BottleneckScenario,C4,44,64.71619983398705,1416,14.159999999999743,0.8564316270939968,1.768388256576615,25,3.5310734463277478,50,0.0,0.0,0
