scenario,config,width,seed,wall_time_s,n_steps,evacuation_time,mean_speed,max_density,collision_count,flow_rate,agents_exited,mean_risk,max_risk,time_above_critical
BottleneckScenario_rerun,C3,1.2,42,95.51483759999974,4001,40.01000000000061,0.42000786199356377,1.5561816657874212,0,1.2496875781054546,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,43,92.31869680000091,4056,40.5600000000005,0.3954880470595932,1.4854461355243564,0,1.2327416173569867,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,44,85.26153770000019,3393,33.93000000000182,0.45238724433540234,1.5208139006558887,0,1.4736221632772566,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,45,95.91827520000152,3729,37.29000000000115,0.43889314985987604,1.5561816657874212,0,1.3408420488066093,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,46,91.24682240000038,3601,36.010000000001405,0.45341248130147765,1.5915494309189535,0,1.388503193557291,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,47,91.94073610000123,3676,36.760000000001256,0.4419303129936464,1.5915494309189535,0,1.360174102285046,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,48,95.91201229999933,3633,36.33000000000134,0.45022883990872253,1.5561816657874212,0,1.3762730525735798,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,49,93.19138359999852,3693,36.93000000000122,0.4520323841221418,1.5561816657874212,0,1.353912808015119,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,50,103.83705129999726,3768,37.68000000000107,0.4487194826054294,1.5915494309189535,0,1.3269639065817032,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,51,87.178572300003,3453,34.5300000000017,0.4584543358749423,1.5208139006558887,1,1.4480162177815679,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,52,91.25180510000064,3445,34.450000000001715,0.46407360603403913,1.5915494309189535,0,1.4513788098693037,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,53,91.09988109999904,3676,36.760000000001256,0.4472181860582423,1.5561816657874212,0,1.360174102285046,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,54,92.14734630000021,3403,34.0300000000018,0.46837464710835447,1.5915494309189535,4,1.4692918013516707,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,55,88.81965250000212,3445,34.450000000001715,0.4613231157088828,1.5561816657874212,0,1.4513788098693037,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,56,91.60303779999958,3643,36.43000000000132,0.44692432598346216,1.5915494309189535,8,1.3724951962667633,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,57,86.55982969999968,3256,32.56000000000209,0.4811358220224572,1.6269171960504858,0,1.535626535626437,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,58,93.6107617000016,3703,37.0300000000012,0.4419528337495607,1.5561816657874212,3,1.3502565487442175,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,59,87.32576390000031,3282,32.82000000000204,0.4936886158592857,1.5208139006558887,0,1.5234613040827816,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,60,99.67752020000262,3550,35.500000000001506,0.4577983193137138,1.6269171960504858,0,1.4084507042252923,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,61,90.454834199998,3336,33.36000000000193,0.46415776472544107,1.6269171960504858,0,1.498800959232527,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,62,88.80804030000218,3383,33.83000000000184,0.4735338402077223,1.5561816657874212,3,1.477978125923656,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,63,95.81911480000053,3979,39.79000000000065,0.41559651973239886,1.5561816657874212,0,1.2565971349585117,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,64,95.8629972000017,3484,34.84000000000164,0.45230502396111405,1.5561816657874212,0,1.4351320321468901,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,65,101.10097440000027,3817,38.170000000000975,0.44052159642311206,1.5561816657874212,0,1.3099292638197202,50,0.0,0.0,0
BottleneckScenario_rerun,C3,1.2,66,103.66418429999976,4093,40.930000000000426,0.40859719710959386,1.5561816657874212,0,1.2215978499877713,50,0.0,0.0,0
